"InvID","Plotid","Plotnum","InvYear","Invdate","Plotsize","Crew","Crew#","InvenType","TravelTime","TotalTime","Canopy","Pcomments"
7076,"0060-00107",107,"2016","2016-08-10 00:00:00",0.100000001490116,"HH ZM",2,"N",0.100000001490116,1,56,"BMS 0%"
7077,"0060-00108",108,"2016","2016-08-10 00:00:00",0.100000001490116,"ZM HH",2,"N",0.200000002980232,1.10000002384186,8,"OFF PLOT WITNESS DF DBH43.1 AZ17 D34.1; BMS 0"
7078,"0060-00109",109,"2016","2016-08-10 00:00:00",0.100000001490116,"HH ZM",2,"N",0.200000002980232,1,64,"BMS-0"
7079,"0060-00111",111,"2016","2016-08-09 00:00:00",0.100000001490116,"BC KB IM",3,"N",0.100000001490116,0.699999988079071,48,"BMS 0"
7080,"0060-00112",112,"2016","2016-08-10 00:00:00",0.100000001490116,"AB KB",2,"N",0.100000001490116,0.899999976158142,60,"BMS2"
7081,"0060-00113",113,"2016","2016-08-09 00:00:00",0.100000001490116,"BC KB ZM",3,"N",0.100000001490116,0.5,44,"BMS 5"
7082,"0060-00114",114,"2016","2016-08-10 00:00:00",0.100000001490116,"AB KB",2,"N",0.100000001490116,1.20000004768372,52,"BMS 0%"
7083,"0060-00115",115,"2016","2016-08-10 00:00:00",0.100000001490116,"AB KB",2,"N",0.100000001490116,1,68,"BMS-0"
7084,"0060-00116",116,"2016","2016-08-11 00:00:00",0.100000001490116,"AB ZM IM",3,"N",0.100000001490116,0.699999988079071,64,"BMS0%"
7085,"0060-00117",117,"2016","2016-08-11 00:00:00",0.100000001490116,"AB ZM IM",3,"N",0.200000002980232,1.10000002384186,76,"BMS 0%"
7086,"0060-00119",119,"2016","2016-08-11 00:00:00",0.100000001490116,"ZM IM AB",3,"N",0.200000002980232,1.39999997615814,68,"BMS 0"
7087,"0060-00130",130,"2016","2016-08-08 00:00:00",0.100000001490116,"VF AB",2,"N",0.200000002980232,1.5,68,"BMS 2"
7088,"0180-00004",4,"2016","2016-06-22 00:00:00",0.100000001490116,"HH EK IM",3,"N",0.25,1.10000002384186,36,"BMS-5"
