"InvID","PlotID","Invdate","Azimuth","Decay Factor","Size"
6729,"0123-00008","2014-09-09 00:00:00",212,"D",6
6729,"0123-00008","2014-09-09 00:00:00",212,"C",4
6729,"0123-00008","2014-09-09 00:00:00",212,"C",8
6729,"0123-00008","2014-09-09 00:00:00",272,"C",4
6729,"0123-00008","2014-09-09 00:00:00",272,"C",4
6729,"0123-00008","2014-09-09 00:00:00",272,"C",4
6729,"0123-00008","2014-09-09 00:00:00",272,"C",6
6729,"0123-00008","2014-09-09 00:00:00",272,"E",10
6730,"0123-00010","2014-09-08 00:00:00",255,"C",7
6730,"0123-00010","2014-09-08 00:00:00",255,"D",20
6731,"0123-00011","2014-09-03 00:00:00",70,"B",4
6731,"0123-00011","2014-09-03 00:00:00",70,"A",4
6731,"0123-00011","2014-09-03 00:00:00",70,"B",9
6731,"0123-00011","2014-09-03 00:00:00",70,"A",15
6731,"0123-00011","2014-09-03 00:00:00",70,"B",6
6731,"0123-00011","2014-09-03 00:00:00",70,"B",4
6731,"0123-00011","2014-09-03 00:00:00",70,"A",4
6731,"0123-00011","2014-09-03 00:00:00",70,"A",5
6731,"0123-00011","2014-09-03 00:00:00",10,"D",5
6731,"0123-00011","2014-09-03 00:00:00",10,"D",4
6732,"0123-00012","2014-09-03 00:00:00",332,"A",5
6732,"0123-00012","2014-09-03 00:00:00",332,"B",6
6732,"0123-00012","2014-09-03 00:00:00",332,"B",7
6732,"0123-00012","2014-09-03 00:00:00",332,"D",9
6732,"0123-00012","2014-09-03 00:00:00",332,"D",10
6732,"0123-00012","2014-09-03 00:00:00",332,"E",13
6732,"0123-00012","2014-09-03 00:00:00",332,"E",6
6732,"0123-00012","2014-09-03 00:00:00",272,"B",5
6732,"0123-00012","2014-09-03 00:00:00",272,"D",7
6733,"0123-00013","2014-09-03 00:00:00",320,"D",4
6733,"0123-00013","2014-09-03 00:00:00",320,"A",7
6733,"0123-00013","2014-09-03 00:00:00",20,"C",5
6733,"0123-00013","2014-09-03 00:00:00",20,"A",4
6733,"0123-00013","2014-09-03 00:00:00",20,"A",8
6734,"0123-00022","2014-08-28 00:00:00",221,"C",4
6734,"0123-00022","2014-08-28 00:00:00",221,"B",6
6734,"0123-00022","2014-08-28 00:00:00",221,"D",4
6734,"0123-00022","2014-08-28 00:00:00",161,"C",5
6734,"0123-00022","2014-08-28 00:00:00",161,"C",5
6735,"0123-00023","2014-08-28 00:00:00",315,"A",4
6735,"0123-00023","2014-08-28 00:00:00",315,"B",4
6735,"0123-00023","2014-08-28 00:00:00",315,"C",7
6736,"0123-00027","2014-08-28 00:00:00",55,"B",6
6736,"0123-00027","2014-08-28 00:00:00",55,"D",7
6736,"0123-00027","2014-08-28 00:00:00",355,"B",7
6737,"0123-00028","2014-09-02 00:00:00",118,"C",7
6737,"0123-00028","2014-09-02 00:00:00",118,"C",4
6737,"0123-00028","2014-09-02 00:00:00",178,"C",4
6738,"0123-00029","2014-09-02 00:00:00",180,"C",7
6738,"0123-00029","2014-09-02 00:00:00",180,"C",8
6738,"0123-00029","2014-09-02 00:00:00",180,"B",9
6738,"0123-00029","2014-09-02 00:00:00",120,"D",4
6738,"0123-00029","2014-09-02 00:00:00",120,"C",6
6738,"0123-00029","2014-09-02 00:00:00",120,"C",5
6739,"0180-00004","2014-07-11 00:00:00",294,"B",22
6740,"0180-00001","2014-07-14 00:00:00",70,"C",6
6740,"0180-00001","2014-07-14 00:00:00",70,"C",6
6740,"0180-00001","2014-07-14 00:00:00",10,"B",4
6740,"0180-00001","2014-07-14 00:00:00",10,"B",5
6740,"0180-00001","2014-07-14 00:00:00",10,"D",4
6741,"0180-00008","2014-07-13 00:00:00",54,"C",6
6742,"0180-00010","2014-07-07 00:00:00",87,"E",7
6744,"0180-00018","2014-07-11 00:00:00",207,"B",5
6744,"0180-00018","2014-07-11 00:00:00",207,"C",9
6744,"0180-00018","2014-07-11 00:00:00",147,"B",4
6744,"0180-00018","2014-07-11 00:00:00",147,"B",4
6745,"0180-00023","2014-07-14 00:00:00",28,"D",6
6745,"0180-00023","2014-07-14 00:00:00",88,"E",12
6745,"0180-00023","2014-07-14 00:00:00",88,"C",8
6745,"0180-00023","2014-07-14 00:00:00",88,"B",6
6746,"0180-00006","2014-07-14 00:00:00",70,"C",6
6746,"0180-00006","2014-07-14 00:00:00",70,"C",6
6746,"0180-00006","2014-07-14 00:00:00",10,"B",4
6746,"0180-00006","2014-07-14 00:00:00",10,"B",5
6746,"0180-00006","2014-07-14 00:00:00",10,"D",4
6747,"0190-00005","2014-08-12 00:00:00",134,"C",7
6748,"0190-00010","2014-08-12 00:00:00",340,"B",4
6748,"0190-00010","2014-08-12 00:00:00",340,"B",6
6748,"0190-00010","2014-08-12 00:00:00",280,"B",5
6748,"0190-00010","2014-08-12 00:00:00",280,"B",4
6749,"0190-00020","2014-08-12 00:00:00",4,"C",7
6749,"0190-00020","2014-08-12 00:00:00",4,"D",6
6750,"0190-00024","2014-08-12 00:00:00",0,"C",4
6750,"0190-00024","2014-08-12 00:00:00",300,"B",4
6751,"0190-00025","2014-08-12 00:00:00",172,"C",6
6751,"0190-00025","2014-08-12 00:00:00",172,"C",5
6751,"0190-00025","2014-08-12 00:00:00",172,"C",7
6751,"0190-00025","2014-08-12 00:00:00",172,"C",6
6751,"0190-00025","2014-08-12 00:00:00",172,"D",5
6751,"0190-00025","2014-08-12 00:00:00",172,"C",5
6751,"0190-00025","2014-08-12 00:00:00",172,"B",8
6751,"0190-00025","2014-08-12 00:00:00",232,"E",4
6751,"0190-00025","2014-08-12 00:00:00",232,"D",4
6752,"0190-00026","2014-08-12 00:00:00",348,"C",4
6752,"0190-00026","2014-08-12 00:00:00",348,"C",8
6752,"0190-00026","2014-08-12 00:00:00",348,"C",9
6753,"0190-00027","2014-08-12 00:00:00",40,"C",9
6755,"0220-00002","2014-06-23 00:00:00",230,"C",3
6755,"0220-00002","2014-06-23 00:00:00",230,"C",5
6755,"0220-00002","2014-06-23 00:00:00",230,"D",9
6755,"0220-00002","2014-06-23 00:00:00",230,"B",6
6755,"0220-00002","2014-06-23 00:00:00",230,"B",22
6755,"0220-00002","2014-06-23 00:00:00",230,"C",6
6755,"0220-00002","2014-06-23 00:00:00",290,"C",7
6755,"0220-00002","2014-06-23 00:00:00",290,"C",3
6755,"0220-00002","2014-06-23 00:00:00",290,"D",3
6755,"0220-00002","2014-06-23 00:00:00",290,"A",10
6756,"0220-00005","2014-06-23 00:00:00",350,"C",7
6756,"0220-00005","2014-06-23 00:00:00",350,"A",4
6756,"0220-00005","2014-06-23 00:00:00",350,"A",5
6756,"0220-00005","2014-06-23 00:00:00",350,"C",6
6756,"0220-00005","2014-06-23 00:00:00",40,"B",8
6758,"0220-00010","2014-06-23 00:00:00",222,"D",11
6758,"0220-00010","2014-06-23 00:00:00",282,"D",5
6759,"0220-00009","2014-06-23 00:00:00",268,"D",4
6759,"0220-00009","2014-06-23 00:00:00",268,"C",5
6759,"0220-00009","2014-06-23 00:00:00",268,"E",7
6759,"0220-00009","2014-06-23 00:00:00",268,"C",5
6759,"0220-00009","2014-06-23 00:00:00",268,"E",9
6759,"0220-00009","2014-06-23 00:00:00",268,"E",5
6759,"0220-00009","2014-06-23 00:00:00",148,"D",4
6759,"0220-00009","2014-06-23 00:00:00",148,"E",19
6759,"0220-00009","2014-06-23 00:00:00",148,"B",7
6759,"0220-00009","2014-06-23 00:00:00",148,"C",5
6761,"0220-00012","2014-06-23 00:00:00",214,"C",4
6761,"0220-00012","2014-06-23 00:00:00",274,"C",4
